student_id,week,clicks,videos_watched,assignments_submitted
1000,1,136,11,1
1000,2,251,9,0
1000,3,15,7,0
1000,4,146,8,1
1000,5,180,2,1
1000,6,200,0,1
1000,7,7,9,1
1000,8,193,8,1
1000,9,251,11,1
1000,10,27,6,1
1001,1,99,4,1
1001,2,127,10,1
1001,3,76,11,0
1001,4,131,9,0
1001,5,267,9,1
1001,6,269,2,0
1001,7,180,10,0
1001,8,265,0,1
1001,9,244,9,1
1001,10,17,2,0
1002,1,116,0,0
1002,2,253,8,0
1002,3,132,4,1
1002,4,183,10,1
1002,5,123,3,0
1002,6,4,8,0
1002,7,169,7,1
1002,8,114,9,1
1002,9,232,10,0
1002,10,266,7,1
1003,1,31,4,0
1003,2,107,6,0
1003,3,117,7,1
1003,4,202,11,1
1003,5,118,2,0
1003,6,169,0,1
1003,7,272,5,1
1003,8,176,5,1
1003,9,29,10,1
1003,10,144,3,1
1004,1,265,1,0
1004,2,144,1,1
1004,3,294,10,1
1004,4,270,7,1
1004,5,79,11,1
1004,6,124,3,0
1004,7,55,0,1
1004,8,57,5,0
1004,9,110,2,1
1004,10,125,1,1
1005,1,105,10,1
1005,2,219,4,0
1005,3,45,0,1
1005,4,142,2,0
1005,5,266,4,1
1005,6,219,10,0
1005,7,61,7,0
1005,8,71,6,0
1005,9,277,6,1
1005,10,174,9,1
1006,1,263,2,1
1006,2,259,5,1
1006,3,132,4,0
1006,4,158,0,1
1006,5,110,6,1
1006,6,191,8,1
1006,7,194,7,1
1006,8,203,0,1
1006,9,258,4,0
1006,10,221,4,1
1007,1,30,1,1
1007,2,105,6,1
1007,3,170,6,1
1007,4,188,9,1
1007,5,259,9,1
1007,6,124,10,1
1007,7,246,5,1
1007,8,117,2,0
1007,9,43,6,0
1007,10,142,7,0
1008,1,44,3,1
1008,2,122,5,1
1008,3,72,11,1
1008,4,7,9,1
1008,5,199,7,0
1008,6,222,11,1
1008,7,39,0,1
1008,8,175,6,0
1008,9,150,3,1
1008,10,41,3,1
1009,1,182,9,0
1009,2,78,9,1
1009,3,246,5,0
1009,4,183,6,1
1009,5,33,7,0
1009,6,155,10,0
1009,7,35,0,1
1009,8,217,6,0
1009,9,89,0,1
1009,10,146,11,0
1010,1,208,2,0
1010,2,253,0,1
1010,3,153,9,1
1010,4,23,8,1
1010,5,77,10,1
1010,6,183,4,1
1010,7,12,3,1
1010,8,111,8,0
1010,9,97,11,0
1010,10,92,11,1
1011,1,286,4,0
1011,2,283,7,1
1011,3,269,9,0
1011,4,259,8,0
1011,5,268,7,0
1011,6,55,1,0
1011,7,118,7,1
1011,8,17,2,1
1011,9,239,5,1
1011,10,260,6,1
1012,1,8,0,1
1012,2,50,5,1
1012,3,50,3,0
1012,4,278,1,1
1012,5,237,7,1
1012,6,83,8,0
1012,7,13,10,1
1012,8,123,8,1
1012,9,175,2,1
1012,10,13,1,1
1013,1,140,9,1
1013,2,161,0,1
1013,3,294,4,1
1013,4,56,4,1
1013,5,55,2,1
1013,6,129,7,0
1013,7,95,9,1
